State;StateCode;Population;PopulationDensity;Murders;GunMurders;GunOwnership
Alabama;AL;4779736;94.65;199;135;0.517
Alaska;AK;710231;1.264;31;19;0.578
Arizona;AZ;6392017;57.05;352;232;0.311
Arkansas;AR;2915918;56.43;130;93;0.553
California;CA;37253956;244.2;1811;1257;0.213
Colorado;CO;5029196;49.33;117;65;0.347
Connecticut;CT;3574097;741.4;131;97;0.167
Delaware;DE;897934;470.7;48;38;0.255
District of Columbia;DC;601723;10298;131;99;0.036
Florida;FL;19687653;360.2;987;669;0.245
Georgia;GA;9920000;172.5;527;376;0.403
Hawaii;HI;1360301;216.8;24;7;0.067
Idaho;ID;1567582;19.V;21;12;0.553
Illinois;IL;12830632;231.9;453;364;0.202
Indiana;IN;6483802;182.5;198;142;0.391
Iowa;IA;3046355;54.81;38;21;0.429
Kansas;KS;2853118;35.09;100;63;0.421
Kentucky;KY;4339367;110;180;116;0.477
Louisiana;LA;4533372;105;437;351;0.441
Maine;ME;1328361;43.04;24;11;0.405
Maryland;MD;5773552;606.2;424;293;0.213
Massachusetts;MA;6547629;852.1;209;118;0.126
Michigan;MI;9883640;174.8;558;413;0.384
Minnesota;MN;5303925;67.14;91;53;0.417
Mississippi;MS;2967297;63.5;165;120;0.553
Missouri;MO;5988927;87.26;419;321;0.417
Montana;MT;989415;6.858;21;12;0.577
Nebraska;NE;1826341;23.97;51;32;0.386
Nevada;NV;2700551;24.VIII;158;84;0.338
New Hampshire;NH;1316470;147;13;5;0.3
New Jersey;NJ;8791894;1189;363;246;0.123
New Mexico;NM;2059179;17.16;118;67;0.348
New York;NY;19378102;415.3;860;517;0.18
North Carolina;NC;9535483;200.6;445;286;0.413
North Dakota;ND;672591;9.916;9;4;0.507
Ohio;OH;11536504;282.5;460;310;0.324
Oklahoma;OK;3751351;55.22;188;111;0.429
Oregon;OR;3831074;40.33;78;36;0.398
Pennsylvania;PA;12702379;285.3;646;457;0.347
Rhode Island;RI;1052567;1006;29;16;0.128
South Carolina;SC;4625364;157.1;280;207;0.423
South Dakota;SD;814180;X.86;14;8;0.566
Tennessee;TN;6346105;156.6;356;219;0.439
Texas;TX;25145561;98.07;1246;805;0.359
Utah;UT;2763885;34.3;52;22;0.439
Vermont;VT;625741;67.73;7;2;0.42
Virginia;VA;8001024;207.3;369;250;0.351
Washington;WA;6724540;102.6;151;93;0.331
West Virginia;WV;1852994;77.06;55;27;0.554
Wisconsin;WI;5686986;105.2;151;97;0.444
Wyoming;WY;563626;5.851;8;5;0.597
